model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge,1.0,1.0,accuracy,0.0018591880798339844,0.0007045269012451172,16.75768256187439,0.0018591880798339844,0.0007045269012451172,16.75768256187439,1,True,11
LightGBM,1.0,1.0,accuracy,0.0018930435180664062,0.0008990764617919922,17.743797540664673,0.0018930435180664062,0.0008990764617919922,17.743797540664673,1,True,2
CatBoost,1.0,1.0,accuracy,0.007886886596679688,0.0026199817657470703,1.5586836338043213,0.007886886596679688,0.0026199817657470703,1.5586836338043213,1,True,5
NeuralNetTorch,1.0,1.0,accuracy,0.0375828742980957,0.025022268295288086,17.28873372077942,0.0375828742980957,0.025022268295288086,17.28873372077942,1,True,10
RandomForestGini,1.0,1.0,accuracy,0.10729861259460449,0.08953666687011719,13.819437742233276,0.10729861259460449,0.08953666687011719,13.819437742233276,1,True,3
ExtraTreesEntr,1.0,1.0,accuracy,0.10799193382263184,0.09620857238769531,13.594027996063232,0.10799193382263184,0.09620857238769531,13.594027996063232,1,True,7
RandomForestEntr,1.0,1.0,accuracy,0.10881757736206055,0.10148406028747559,13.741758108139038,0.10881757736206055,0.10148406028747559,13.741758108139038,1,True,4
ExtraTreesGini,1.0,1.0,accuracy,0.1166229248046875,0.11064863204956055,14.052525758743286,0.1166229248046875,0.11064863204956055,14.052525758743286,1,True,6
XGBoost,0.9966996699669967,1.0,accuracy,0.014067888259887695,0.012857198715209961,15.374746084213257,0.014067888259887695,0.012857198715209961,15.374746084213257,1,True,9
WeightedEnsemble_L2,0.9966996699669967,1.0,accuracy,0.016016006469726562,0.013681411743164062,15.447288990020752,0.0019481182098388672,0.0008242130279541016,0.07254290580749512,2,True,12
LightGBMXT,0.9933993399339934,1.0,accuracy,0.001615762710571289,0.0007548332214355469,25.2764413356781,0.001615762710571289,0.0007548332214355469,25.2764413356781,1,True,1
NeuralNetFastAI,0.9933993399339934,0.9921875,accuracy,0.0200958251953125,0.014229774475097656,2.2294740676879883,0.0200958251953125,0.014229774475097656,2.2294740676879883,1,True,8
