model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_r161_BAG_L1_FULL,1.0,,accuracy,0.003818035125732422,,19.03116464614868,0.003818035125732422,,19.03116464614868,1,True,23
CatBoost_r69_BAG_L1_FULL,1.0,,accuracy,0.008636236190795898,,1.0415000915527344,0.008636236190795898,,1.0415000915527344,1,True,21
NeuralNetTorch_r14_BAG_L1_FULL,1.0,,accuracy,0.10497808456420898,,17.99445652961731,0.10497808456420898,,17.99445652961731,1,True,22
ExtraTreesGini_BAG_L1_FULL,1.0,,accuracy,0.11856389045715332,0.13887953758239746,15.68343734741211,0.11856389045715332,0.13887953758239746,15.68343734741211,1,True,15
RandomForestEntr_BAG_L1_FULL,1.0,,accuracy,0.11875462532043457,0.14673876762390137,17.855072736740112,0.11875462532043457,0.14673876762390137,17.855072736740112,1,True,14
RandomForestGini_BAG_L1_FULL,1.0,,accuracy,0.1194450855255127,0.15357613563537598,21.75438928604126,0.1194450855255127,0.15357613563537598,21.75438928604126,1,True,13
ExtraTreesEntr_BAG_L1_FULL,1.0,,accuracy,0.12010073661804199,0.14364051818847656,15.006848812103271,0.12010073661804199,0.14364051818847656,15.006848812103271,1,True,16
WeightedEnsemble_L2_FULL,1.0,,accuracy,0.12087512016296387,,15.770898818969727,0.002311229705810547,,0.08746147155761719,2,True,24
RandomForestEntr_BAG_L1,1.0,0.9984326018808778,accuracy,0.12373566627502441,0.14673876762390137,17.855072736740112,0.12373566627502441,0.14673876762390137,17.855072736740112,1,True,2
ExtraTreesGini_BAG_L1,1.0,1.0,accuracy,0.1274104118347168,0.13887953758239746,15.68343734741211,0.1274104118347168,0.13887953758239746,15.68343734741211,1,True,3
RandomForestGini_BAG_L1,1.0,0.9984326018808778,accuracy,0.12762141227722168,0.15357613563537598,21.75438928604126,0.12762141227722168,0.15357613563537598,21.75438928604126,1,True,1
RandomForest_r195_BAG_L1_FULL,1.0,,accuracy,0.12832355499267578,0.16744136810302734,16.872165203094482,0.12832355499267578,0.16744136810302734,16.872165203094482,1,True,18
WeightedEnsemble_L2,1.0,1.0,accuracy,0.13026833534240723,0.14037299156188965,15.770898818969727,0.0028579235076904297,0.0014934539794921875,0.08746147155761719,2,True,12
ExtraTrees_r42_BAG_L1_FULL,1.0,,accuracy,0.14581298828125,0.15961384773254395,14.024872303009033,0.14581298828125,0.15961384773254395,14.024872303009033,1,True,17
ExtraTrees_r172_BAG_L1,1.0,1.0,accuracy,0.14939069747924805,0.15193748474121094,17.57748770713806,0.14939069747924805,0.15193748474121094,17.57748770713806,1,True,8
ExtraTrees_r172_BAG_L1_FULL,1.0,,accuracy,0.16833996772766113,0.15193748474121094,17.57748770713806,0.16833996772766113,0.15193748474121094,17.57748770713806,1,True,20
RandomForest_r195_BAG_L1,1.0,0.9984326018808778,accuracy,0.21791839599609375,0.16744136810302734,16.872165203094482,0.21791839599609375,0.16744136810302734,16.872165203094482,1,True,6
ExtraTrees_r42_BAG_L1,1.0,1.0,accuracy,0.26799821853637695,0.15961384773254395,14.024872303009033,0.26799821853637695,0.15961384773254395,14.024872303009033,1,True,5
ExtraTreesEntr_BAG_L1,1.0,1.0,accuracy,0.4764230251312256,0.14364051818847656,15.006848812103271,0.4764230251312256,0.14364051818847656,15.006848812103271,1,True,4
XGBoost_r194_BAG_L1_FULL,0.9966996699669967,,accuracy,0.012073040008544922,,17.7939670085907,0.012073040008544922,,17.7939670085907,1,True,19
LightGBM_r161_BAG_L1,,1.0,accuracy,,0.015902996063232422,18.186847686767578,,0.015902996063232422,18.186847686767578,1,False,11
CatBoost_r69_BAG_L1,,1.0,accuracy,,0.022964000701904297,27.216121912002563,,0.022964000701904297,27.216121912002563,1,False,9
NeuralNetTorch_r14_BAG_L1,,1.0,accuracy,,0.2137303352355957,131.7836456298828,,0.2137303352355957,131.7836456298828,1,False,10
XGBoost_r194_BAG_L1,,0.9984326018808778,accuracy,,0.049677371978759766,15.961614847183228,,0.049677371978759766,15.961614847183228,1,False,7
