model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,accuracy,0.0015544891357421875,0.0007014274597167969,17.252987384796143,0.0015544891357421875,0.0007014274597167969,17.252987384796143,1,True,2
LightGBMLarge,1.0,1.0,accuracy,0.003824472427368164,0.0007488727569580078,18.314948797225952,0.003824472427368164,0.0007488727569580078,18.314948797225952,1,True,11
CatBoost,1.0,1.0,accuracy,0.008534669876098633,0.0023567676544189453,1.7307510375976562,0.008534669876098633,0.0023567676544189453,1.7307510375976562,1,True,5
NeuralNetTorch,1.0,1.0,accuracy,0.04161977767944336,0.025551557540893555,19.554224967956543,0.04161977767944336,0.025551557540893555,19.554224967956543,1,True,10
RandomForestGini,1.0,1.0,accuracy,0.11424922943115234,0.10520291328430176,13.743734359741211,0.11424922943115234,0.10520291328430176,13.743734359741211,1,True,3
RandomForestEntr,1.0,1.0,accuracy,0.11707448959350586,0.10477018356323242,15.921303510665894,0.11707448959350586,0.10477018356323242,15.921303510665894,1,True,4
ExtraTreesGini,1.0,1.0,accuracy,0.13463330268859863,0.1035921573638916,13.718307256698608,0.13463330268859863,0.1035921573638916,13.718307256698608,1,True,6
ExtraTreesEntr,1.0,1.0,accuracy,0.16869688034057617,0.11732745170593262,13.244188785552979,0.16869688034057617,0.11732745170593262,13.244188785552979,1,True,7
XGBoost,0.9966996699669967,1.0,accuracy,0.02406477928161621,0.013500690460205078,17.558135986328125,0.02406477928161621,0.013500690460205078,17.558135986328125,1,True,9
WeightedEnsemble_L2,0.9966996699669967,1.0,accuracy,0.027873992919921875,0.014329671859741211,17.631056308746338,0.003809213638305664,0.0008289813995361328,0.07292032241821289,2,True,12
LightGBMXT,0.9933993399339934,1.0,accuracy,0.0017802715301513672,0.0007085800170898438,23.926729917526245,0.0017802715301513672,0.0007085800170898438,23.926729917526245,1,True,1
NeuralNetFastAI,0.9933993399339934,0.9921875,accuracy,0.04664158821105957,0.012209415435791016,2.586362838745117,0.04664158821105957,0.012209415435791016,2.586362838745117,1,True,8
