model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,accuracy,0.0014154911041259766,0.0007004737854003906,16.484398126602173,0.0014154911041259766,0.0007004737854003906,16.484398126602173,1,True,2
LightGBMLarge,1.0,1.0,accuracy,0.0023462772369384766,0.0007338523864746094,17.00609588623047,0.0023462772369384766,0.0007338523864746094,17.00609588623047,1,True,11
CatBoost,1.0,1.0,accuracy,0.009523391723632812,0.0015752315521240234,1.5949249267578125,0.009523391723632812,0.0015752315521240234,1.5949249267578125,1,True,5
NeuralNetTorch,1.0,1.0,accuracy,0.038536787033081055,0.024363994598388672,17.43365740776062,0.038536787033081055,0.024363994598388672,17.43365740776062,1,True,10
RandomForestEntr,1.0,1.0,accuracy,0.11053919792175293,0.09246349334716797,13.8365478515625,0.11053919792175293,0.09246349334716797,13.8365478515625,1,True,4
ExtraTreesEntr,1.0,1.0,accuracy,0.1116330623626709,0.10642504692077637,13.666757583618164,0.1116330623626709,0.10642504692077637,13.666757583618164,1,True,7
RandomForestGini,1.0,1.0,accuracy,0.11326956748962402,0.09780454635620117,13.375076293945312,0.11326956748962402,0.09780454635620117,13.375076293945312,1,True,3
ExtraTreesGini,1.0,1.0,accuracy,0.12049388885498047,0.09540152549743652,13.76576828956604,0.12049388885498047,0.09540152549743652,13.76576828956604,1,True,6
XGBoost,0.9966996699669967,1.0,accuracy,0.011205434799194336,0.014446496963500977,15.700565576553345,0.011205434799194336,0.014446496963500977,15.700565576553345,1,True,9
WeightedEnsemble_L2,0.9966996699669967,1.0,accuracy,0.0135345458984375,0.01526498794555664,15.775362253189087,0.002329111099243164,0.0008184909820556641,0.07479667663574219,2,True,12
LightGBMXT,0.9933993399339934,1.0,accuracy,0.001645803451538086,0.0008523464202880859,23.35777449607849,0.001645803451538086,0.0008523464202880859,23.35777449607849,1,True,1
NeuralNetFastAI,0.9933993399339934,0.9921875,accuracy,0.01762557029724121,0.006774187088012695,2.0340704917907715,0.01762557029724121,0.006774187088012695,2.0340704917907715,1,True,8
