model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,1.0,1.0,accuracy,0.0015301704406738281,0.000804901123046875,19.44505739212036,0.0015301704406738281,0.000804901123046875,19.44505739212036,1,True,2
LightGBMLarge,1.0,1.0,accuracy,0.0017669200897216797,0.0007915496826171875,18.106582641601562,0.0017669200897216797,0.0007915496826171875,18.106582641601562,1,True,11
CatBoost,1.0,1.0,accuracy,0.005475044250488281,0.0015857219696044922,2.005052328109741,0.005475044250488281,0.0015857219696044922,2.005052328109741,1,True,5
NeuralNetTorch,1.0,1.0,accuracy,0.03613162040710449,0.02462911605834961,19.648977994918823,0.03613162040710449,0.02462911605834961,19.648977994918823,1,True,10
RandomForestEntr,1.0,1.0,accuracy,0.11106419563293457,0.10193157196044922,14.702384948730469,0.11106419563293457,0.10193157196044922,14.702384948730469,1,True,4
ExtraTreesGini,1.0,1.0,accuracy,0.11807084083557129,0.10321712493896484,15.835440635681152,0.11807084083557129,0.10321712493896484,15.835440635681152,1,True,6
RandomForestGini,1.0,1.0,accuracy,0.12939167022705078,0.10583329200744629,16.038103818893433,0.12939167022705078,0.10583329200744629,16.038103818893433,1,True,3
ExtraTreesEntr,1.0,1.0,accuracy,0.14328813552856445,0.1041269302368164,14.975416421890259,0.14328813552856445,0.1041269302368164,14.975416421890259,1,True,7
XGBoost,0.9966996699669967,1.0,accuracy,0.015062332153320312,0.014917612075805664,18.405235767364502,0.015062332153320312,0.014917612075805664,18.405235767364502,1,True,9
WeightedEnsemble_L2,0.9966996699669967,1.0,accuracy,0.01682901382446289,0.015909194946289062,18.494751930236816,0.0017666816711425781,0.0009915828704833984,0.08951616287231445,2,True,12
LightGBMXT,0.9933993399339934,1.0,accuracy,0.001951456069946289,0.001255035400390625,27.621564388275146,0.001951456069946289,0.001255035400390625,27.621564388275146,1,True,1
NeuralNetFastAI,0.9933993399339934,0.9921875,accuracy,0.024168729782104492,0.0070116519927978516,2.553290367126465,0.024168729782104492,0.0070116519927978516,2.553290367126465,1,True,8
